reportingrailroadcode,accidentnumber,date,time,accidenttype,hazmatreleasedcars,station,stateabbr,temperature,visibility_code,visibility,weathercondition,tracktype,equipmenttype,trainspeed,equipmentdamagecost,trackdamagecost,totaldamagecost,primaryaccidentcausecode,latitude,longitude,prior_temp,actual_temp,following_temp,before_temp_change,after_temp_change,across_temp_change,accident_category
BNSF,KS1119202,2019-11-28,4:45 AM,Hwy-rail crossing,0,CAMPO,CO,31,1.0,Dawn,Cloudy,Main,Freight Train,47,16182,2925,19107,M308,37.116807,-102.582422,27.1,31.8,41.1,4.699999999999999,9.3,14.0,Other
WE,170022,2017-02-27,9:00 AM,Derailment,0,CANTON,OH,37,2.0,Day,Cloudy,Yard,Light loco(s),6,1053,24794,25847,H702,40.767823,-81.417757,31.6,39.6,47.9,8.0,8.299999999999997,16.299999999999997,Other
WE,220089,2022-12-27,8:00 AM,Derailment,0,CANTON,OH,24,2.0,Day,Snow,Yard,Yard/switching,5,1764,17811,19575,T309,40.868467,-81.251883,14.8,25.5,35.6,10.7,10.100000000000001,20.8,Track-related
BLU,201209001,2020-12-09,2:25 PM,Derailment,0,CANTON,NC,50,2.0,Day,Clear,Industry,Freight Train,5,0,50000,50000,T110,35.532109,-82.84428,30.9,38.2,45.8,7.300000000000004,7.599999999999994,14.899999999999999,Track-related
RCPE,RCP198122D,2022-09-22,4:00 AM,Derailment,0,CAPA,SD,43,4.0,Dark,Cloudy,Main,Freight Train,7,40000,5000,45000,T207,44.104561,-100.996753,57.1,54.0,61.3,-3.1000000000000014,7.299999999999997,4.199999999999996,Track-related
WE,210083,2021-12-23,8:00 PM,Other (describe in narrative),0,CARNEGIE,PA,35,4.0,Dark,Clear,Yard,Yard/switching,8,3303,22755,26058,M507,40.416135,-80.061734,31.0,29.2,52.3,-1.8000000000000007,23.099999999999998,21.299999999999997,Other
WE,170047,2017-04-08,11:20 PM,Derailment,0,CARROLLTON,OH,30,4.0,Dark,Clear,Main,Light loco(s),6,493,15124,15617,T110,40.464307,-81.18765,36.4,42.7,55.3,6.300000000000004,12.599999999999994,18.9,Track-related
CSX,000167263,2017-03-04,4:36 AM,Derailment,0,CARTERSVILLE,GA,68,4.0,Dark,Clear,Industry,Freight Train,2,121865,12100,133965,H702,34.125834,-84.903072,41.2,43.0,50.9,1.7999999999999972,7.899999999999999,9.699999999999996,Other
BNSF,PR1120110,2020-11-29,4:01 AM,Derailment,0,CASPER,WY,19,1.0,Dawn,Clear,Yard,Cut of cars,0,110265,0,194461,H599,42.854142,-106.324305,35.5,25.0,36.9,-10.5,11.899999999999999,1.3999999999999986,Other
BNSF,PR1120110,2020-11-29,4:01 AM,Derailment,0,CASPER,WY,19,1.0,Dawn,Clear,Yard,Yard/switching,7,68833,15363,194461,H599,42.854142,-106.324305,35.5,25.0,36.9,-10.5,11.899999999999999,1.3999999999999986,Other
CIC,D202299,2022-09-19,2:20 PM,Other impacts,0,CEDAR RAPIDS,IA,42,2.0,Day,Clear,Yard,Spec. MoW Equip.,0,26423,0,52846,H607,41.93418,-91.702346,73.3,71.2,80.8,-2.0999999999999943,9.599999999999994,7.5,Other
CIC,D202299,2022-09-19,2:20 PM,Other impacts,0,CEDAR RAPIDS,IA,82,2.0,Day,Clear,Yard,Spec. MoW Equip.,3,26423,0,52846,H607,41.93418,-91.702346,73.3,71.2,80.8,-2.0999999999999943,9.599999999999994,7.5,Other
NS,122906,2016-11-27,8:30 PM,Derailment,0,CENTRALIA,MO,42,4.0,Dark,Clear,Main,Freight Train,22,64605,914,65519,H601,39.212474,-92.135134,38.3,45.0,51.7,6.700000000000003,6.700000000000003,13.400000000000006,Other
IC,981375,2018-12-10,6:39 PM,Hwy-rail crossing,0,CHAMPAIGN,IL,24,4.0,Dark,Fog,Main,Passenger Train - Pulling,0,0,2144,28662,M304,40.12728,-88.23599,22.8,19.0,30.0,-3.8000000000000007,11.0,7.199999999999999,Other
IC,951244,2018-02-26,10:58 PM,Derailment,0,CHAMPAIGN,IL,37,4.0,Dark,Clear,Yard,Freight Train,3,10100,10356,20456,E79L,40.143059,-88.229399,39.2,41.3,48.6,2.0999999999999943,7.300000000000004,9.399999999999999,Other
ATK,156672,2018-12-10,6:39 PM,Hwy-rail crossing,0,CHAMPAIGN,IL,24,4.0,Dark,Fog,Main,Passenger Train - Pulling,51,26518,0,28662,M304,40.12728,-88.23599,22.8,19.0,30.0,-3.8000000000000007,11.0,7.199999999999999,Other
UP,0716TC008,2016-07-10,6:20 PM,Derailment,0,CHAPIN,IA,85,2.0,Day,Clear,Industry,Freight Train,8,250,64250,64500,T110,42.840142,-93.222538,69.7,68.5,78.5,-1.2000000000000028,10.0,8.799999999999997,Track-related
GRS,20170227W1,2017-02-27,7:00 AM,Derailment,0,CHARLEMONT,MA,40,1.0,Dawn,Clear,Main,Freight Train,20,152000,40004,192004,T203,42.622916,-72.87425,31.0,35.1,44.1,4.100000000000001,9.0,13.100000000000001,Track-related
NECR,NEC934319A,2019-02-03,5:30 PM,Obstruction,0,CHARLESTOWN,NH,29,4.0,Dark,Snow,Main,Passenger Train - Pulling,0,0,0,19907,M402,43.139005,-72.447317,10.2,26.3,35.9,16.1,9.599999999999998,25.7,Other
ATK,157439,2019-02-03,5:30 PM,Obstruction,0,CHARLESTOWN,NH,29,4.0,Dark,Snow,Main,Passenger Train - Pulling,79,19907,0,19907,M402,43.182045,-72.439568,10.2,26.3,35.9,16.1,9.599999999999998,25.7,Other
NS,151829,2022-12-24,2:45 AM,Derailment,0,CHARLOTTE,NC,25,4.0,Dark,Clear,Yard,Yard/switching,8,1700,11246,12946,T207,35.228064,-80.852619,31.8,18.3,26.2,-13.5,7.899999999999999,-5.600000000000001,Track-related
NS,143888,2021-12-31,7:00 AM,Derailment,0,CHATTANOOGA,TN,68,1.0,Dawn,Cloudy,Yard,Light loco(s),5,39170,24520,63690,H017,35.082989,-85.244258,62.3,60.3,71.4,-2.0,11.100000000000009,9.100000000000009,Other
CSX,000210394,2023-03-20,8:53 PM,Side collision,0,CHATTANOOGA,TN,54,4.0,Dark,Clear,Yard,Freight Train,3,2000,0,20000,H210,35.012679,-85.371499,34.3,38.7,47.5,4.400000000000006,8.799999999999997,13.200000000000003,Other
CSX,000210394,2023-03-20,8:53 PM,Side collision,0,CHATTANOOGA,TN,54,4.0,Dark,Clear,Yard,Freight Train,3,18000,0,20000,H210,35.012679,-85.371499,34.3,38.7,47.5,4.400000000000006,8.799999999999997,13.200000000000003,Other
NPB,AR20167,2016-11-23,1:06 AM,Derailment,0,CHESAPEAKE,VA,34,4.0,Dark,Clear,Yard,Yard/switching,4,31025,5000,36025,H506,36.822786,-76.280974,41.6,42.8,51.5,1.1999999999999957,8.700000000000003,9.899999999999999,Other
ATK,141786,2016-04-03,7:50 AM,Obstruction,0,CHESTER,PA,50,2.0,Day,Clear,Main,Passenger Train - Pulling,102,3159938,497313,3657251,H402,39.832325,-75.39609,56.5,41.9,49.3,-14.600000000000001,7.399999999999999,-7.200000000000003,Other
UP,1220MA031,2020-12-29,10:14 AM,Derailment,0,CHESTER,IL,30,2.0,Day,Cloudy,Siding,Freight Train,12,24776,111668,136444,H706,37.88139,-89.785491,35.4,33.0,42.0,-2.3999999999999986,9.0,6.600000000000001,Other
NICD,N1800003,2018-01-14,10:38 PM,Fire/violent rupture,0,CHESTERTON,IN,18,4.0,Dark,Snow,Main,EMU,40,500000,65000,565000,E78L,41.644552,-87.062237,14.3,10.0,16.7,-4.300000000000001,6.699999999999999,2.3999999999999986,Other
UP,1117DV003,2017-11-15,5:00 PM,Other impacts,0,CHEYENNE,WY,40,3.0,Dusk,Cloudy,Yard,Cut of cars,0,62332,0,113817,E35C,41.126342,-104.823228,45.3,34.3,47.8,-11.0,13.5,2.5,Other
UP,0317DV031,2017-03-17,4:09 AM,Fire/violent rupture,0,CHEYENNE,WY,41,1.0,Dawn,Clear,Main,Freight Train,23,31465,0,31465,E74L,41.072432,-104.941169,55.6,48.1,55.0,-7.5,6.899999999999999,-0.6000000000000014,Other
UP,0217DV020,2017-02-14,2:53 AM,Derailment,0,CHEYENNE,WY,31,4.0,Dark,Cloudy,Main,Freight Train,19,11366,22086,33452,M405,41.127786,-104.824079,35.4,32.9,43.4,-2.5,10.5,8.0,Other
UP,0323GP016,2023-03-13,4:15 PM,Derailment,0,CHEYENNE,WY,46,2.0,Day,Clear,Yard,Freight Train,5,172277,149146,321423,H601,41.123933,-104.834397,26.4,32.5,44.3,6.100000000000001,11.799999999999997,17.9,Other
UP,1117DV003,2017-11-15,5:00 PM,Other impacts,0,CHEYENNE,WY,40,3.0,Dusk,Cloudy,Yard,Yard/switching,4,45461,6024,113817,E35C,41.126342,-104.823228,45.3,34.3,47.8,-11.0,13.5,2.5,Other
UP,1123RM017,2023-11-10,4:30 PM,Derailment,0,CHEYENNE,WY,51,2.0,Day,Clear,Main,Freight Train,23,442205,100963,543168,E79L,41.090389,-104.983086,31.2,34.2,41.6,3.0000000000000036,7.399999999999999,10.400000000000002,Other
UP,0218DV018,2018-02-12,1:40 AM,Other (describe in narrative),0,CHEYENNE,WY,6,4.0,Dark,Clear,Yard,Cut of cars,0,18212,0,18212,M201,41.128159,-104.816163,23.7,11.9,34.7,-11.799999999999999,22.800000000000004,11.000000000000004,Other
UP,0221GP028,2021-02-21,8:08 AM,Derailment,0,CHEYENNE,WY,21,2.0,Day,Clear,Yard,Yard/switching,8,31831,72000,103831,H019,41.126956,-104.821494,32.0,27.7,39.1,-4.300000000000001,11.400000000000002,7.100000000000001,Other
UP,0420RM020,2020-04-09,8:34 AM,Fire/violent rupture,0,CHEYENNE,WY,28,2.0,Day,Clear,Main,Freight Train,38,326281,0,326281,E72L,41.095133,-104.1695,45.9,39.1,52.5,-6.799999999999997,13.399999999999999,6.600000000000001,Other
UP,0118DV019,2018-01-28,4:55 AM,Derailment,0,CHEYENNE,WY,31,4.0,Dark,Cloudy,Industry,Yard/switching,4,24419,21000,45419,H702,41.126462,-104.791849,28.5,31.6,39.3,3.1000000000000014,7.699999999999996,10.799999999999997,Other
UP,0519GP002,2019-05-02,9:40 AM,Derailment,0,CHEYENNE,WY,35,2.0,Day,Cloudy,Yard,Yard/switching,2,10781,1397,12178,H704,41.127276,-104.818781,34.7,40.9,48.3,6.199999999999996,7.399999999999999,13.599999999999994,Other
UP,0623GP021,2023-06-18,12:05 AM,Derailment,0,CHEYENNE,WY,52,4.0,Dark,Clear,Yard,Freight Train,6,30513,140436,170949,T110,41.12758,-104.817912,54.9,62.8,69.6,7.899999999999999,6.799999999999997,14.699999999999996,Track-related
UP,0118DV009,2018-01-17,7:34 PM,Derailment,0,CHEYENNE,WY,26,4.0,Dark,Clear,Yard,Freight Train,4,221923,5048,226971,T202,41.131803,-104.813719,12.8,29.8,44.5,17.0,14.7,31.7,Track-related
UP,1218GP018,2018-12-07,2:34 PM,Derailment,0,CHEYENNE,WY,34,2.0,Day,Cloudy,Yard,Freight Train,6,17183,31440,48623,T206,41.1327,-104.798779,13.6,19.6,28.1,6.000000000000002,8.5,14.500000000000002,Track-related
UP,0419GP003,2019-04-03,6:49 AM,Derailment,0,CHEYENNE,WY,36,1.0,Dawn,Cloudy,Yard,Freight Train,7,192090,39579,231669,T207,41.124993,-104.828902,38.1,41.4,48.0,3.299999999999997,6.600000000000001,9.899999999999999,Track-related
NS,128025,2018-01-06,11:30 AM,Derailment,0,CHICAGO,IL,10,2.0,Day,Cloudy,Yard,Yard/switching,5,9700,4000,13700,M405,41.756058,-87.687298,5.1,7.2,22.7,2.1000000000000005,15.5,17.6,Other
NIRC,2017070529,2017-12-27,10:40 AM,Obstruction,0,CHICAGO,IL,5,2.0,Day,Clear,Yard,EMU,0,21368,0,21368,H311,41.669916,-87.616194,2.0,2.1,9.0,0.10000000000000009,6.9,7.0,Other
NICD,N1900001,2019-01-06,2:10 PM,Other (describe in narrative),0,CHICAGO,IL,32,2.0,Day,Cloudy,Main,Passenger Train - Pulling,50,18515,4884,23399,E78L,41.658198,-87.565368,40.8,38.8,46.3,-2.0,7.5,5.5,Other
NS,129187,2018-04-18,10:00 PM,Other impacts,0,CHICAGO,IL,72,4.0,Dark,Cloudy,Yard,Yard/switching,3,24000,0,24000,H318,41.700227,-87.566652,35.3,34.4,42.5,-0.8999999999999986,8.100000000000001,7.200000000000003,Other
NIRC,9419000636,2022-01-21,6:35 AM,Hwy-rail crossing,0,CHICAGO,IL,6,4.0,Dark,Cloudy,Main,Commuter Train - Pushing,70,30000,0,30000,M308,41.68935,-87.66218,13.7,18.3,25.2,4.600000000000001,6.899999999999999,11.5,Other
NIRC,9419001236,2022-12-23,11:01 AM,Other impacts,0,CHICAGO,IL,-3,2.0,Day,Cloudy,Main,EMU,15,19029,2408,21437,E78L,41.74464,-87.59864,20.8,-4.3,6.2,-25.1,10.5,-14.600000000000001,Other
NIRC,9419001189,2022-12-04,1:30 PM,Hwy-rail crossing,0,CHICAGO,IL,50,2.0,Day,Clear,Main,Commuter Train - Pushing,25,12557,0,12557,M302,41.73119,-87.66537,30.2,29.2,36.5,-1.0,7.300000000000001,6.300000000000001,Other
NIRC,9419001225,2022-12-27,9:00 PM,Obstruction,0,CHICAGO,IL,25,4.0,Dark,Clear,Main,EMU,21,4342,23086,27428,M404,41.766068,-87.58594,17.9,17.2,36.6,-0.6999999999999993,19.400000000000002,18.700000000000003,Other
ATK,151952,2018-02-12,8:30 PM,Derailment,0,CHICAGO,IL,25,4.0,Dark,Snow,Yard,Light loco(s),4,46818,0,46818,H303,41.863228,-87.636452,20.0,17.0,25.1,-3.0,8.100000000000001,5.100000000000001,Other
NIRC,9419000598,2021-12-22,7:07 AM,Other impacts,0,CHICAGO,IL,31,1.0,Dawn,Cloudy,Main,Commuter Train - Pulling,0,0,14884,21262,E78L,41.85695,-87.61763,33.9,26.6,37.9,-7.299999999999997,11.299999999999997,4.0,Other
NIRC,9419001248,2023-01-09,7:25 AM,Hwy-rail crossing,0,CHICAGO,IL,26,1.0,Dawn,Cloudy,Main,Commuter Train - Pushing,65,13230,9393,22623,M308,41.68479,-87.663826,30.3,34.1,41.3,3.8000000000000007,7.199999999999996,10.999999999999996,Other
CSX,000154702,2015-11-25,2:15 PM,Derailment,0,CHICAGO,IL,45,2.0,Day,Cloudy,Yard,Freight Train,3,66457,0,93437,H525,41.76175,-87.741168,34.9,45.5,55.8,10.600000000000001,10.299999999999997,20.9,Other
NICD,N2100030,2021-12-22,7:07 AM,Other impacts,0,CHICAGO,IL,31,1.0,Dawn,Cloudy,Main,Commuter Train - Pulling,20,6378,0,21262,E78L,41.85695,-87.61763,33.9,26.6,37.9,-7.299999999999997,11.299999999999997,4.0,Other
NS,137177,2020-02-14,7:20 AM,Hwy-rail crossing,0,CHICAGO,IL,1,1.0,Dawn,Clear,Industry,Freight Train,3,18000,0,18000,M308,41.808907,-87.655264,18.2,6.0,23.5,-12.2,17.5,5.300000000000001,Other
NIRC,2018070550,2018-02-08,6:20 PM,Other impacts,0,CHICAGO,IL,12,3.0,Dusk,Cloudy,Main,Commuter Train - Pushing,10,13887,0,13887,M402,41.922943,-87.80482,16.8,15.5,25.2,-1.3000000000000007,9.7,8.399999999999999,Other
BRC,14242,2019-03-07,4:00 AM,Derailment,0,CHICAGO,IL,18,4.0,Dark,Clear,Yard,Yard/switching,5,1323,18900,20223,H702,41.767455,-87.741376,20.5,23.0,30.8,2.5,7.800000000000001,10.3,Other
NIRC,9419001953,2024-01-16,6:42 AM,Hwy-rail crossing,0,CHICAGO,IL,-5,1.0,Dawn,Cloudy,Main,Commuter Train - Pushing,63,20671,0,20671,M308,41.69214,-87.66113,-3.8,0.7,12.4,4.5,11.700000000000001,16.2,Other
NS,136165,2019-11-12,5:15 AM,Other (describe in narrative),0,CHICAGO,IL,11,1.0,Dawn,Clear,Yard,Freight Train,6,9004,4179,13183,M101,41.702707,-87.568866,25.3,13.4,20.0,-11.9,6.6,-5.300000000000001,Other
NICD,N1600031,2016-12-19,6:30 AM,Other (describe in narrative),0,CHICAGO,IL,16,4.0,Dark,Clear,Main,Passenger Train - Pulling,60,47474,0,53061,M599,41.809522,-87.591007,7.5,5.1,23.3,-2.4000000000000004,18.200000000000003,15.8,Other
NIRC,941000462,2021-09-25,11:10 AM,Hwy-rail crossing,0,CHICAGO,IL,68,2.0,Day,Clear,Main,Commuter Train - Pushing,77,4500,46042,50542,M302,41.72131,-87.65026,66.0,61.1,69.4,-4.899999999999999,8.300000000000004,3.4000000000000057,Other
NIRC,MEJ121,2016-12-19,6:30 AM,Other (describe in narrative),0,CHICAGO,IL,16,4.0,Dark,Clear,Main,EMU,0,0,5587,53061,M599,41.8095,-87.591,7.5,5.1,23.3,-2.4000000000000004,18.200000000000003,15.8,Other
NIRC,MEI044,2015-06-12,1:30 PM,Hwy-rail crossing,0,CHICAGO,IL,60,2.0,Day,Cloudy,Main,EMU,25,75955,28009,103964,M308,41.764446,-87.564926,68.8,62.9,70.9,-5.899999999999999,8.000000000000007,2.1000000000000085,Other
NIRC,MEI016,2015-02-05,9:11 PM,Other impacts,0,CHICAGO,IL,11,4.0,Dark,Cloudy,Yard,EMU,5,5456,30000,35456,H306,41.857907,-87.620464,20.7,9.7,22.9,-11.0,13.2,2.1999999999999993,Other
NS,132834,2019-02-13,6:15 PM,Derailment,0,CHICAGO,IL,25,3.0,Dusk,Clear,Yard,Freight Train,3,14186,39581,53767,T217,41.757609,-87.668042,30.4,20.2,39.8,-10.2,19.599999999999998,9.399999999999999,Other
NICD,N2400017,2024-07-01,7:39 AM,Other impacts,0,CHICAGO,IL,87,1.0,Dawn,Clear,Main,Passenger Train - Pulling,5,29633,0,59515,T404,41.88051,-87.6231,66.6,66.7,75.0,0.10000000000000853,8.299999999999997,8.400000000000006,Track-related
UP,0316PR007,2016-03-05,1:49 AM,Derailment,0,CHICAGO,IL,25,4.0,Dark,Clear,Yard,Light loco(s),7,51829,0,52814,T402,41.757563,-87.684929,31.3,35.3,42.8,3.9999999999999964,7.5,11.499999999999996,Track-related
CRL,CRL192438,2019-04-06,2:50 PM,Derailment,0,CHICAGO,IL,65,2.0,Day,Clear,Yard,Freight Train,6,43000,51985,94985,T106,41.723096,-87.560513,46.4,52.5,59.7,6.100000000000001,7.200000000000003,13.300000000000004,Track-related
NIRC,MEI045,2015-05-20,12:52 AM,Derailment,0,CHICAGO,IL,44,4.0,Dark,Clear,Main,EMU,15,77485,6683,84168,T101,41.521086,-87.371926,48.7,45.4,56.9,-3.3000000000000043,11.5,8.199999999999996,Track-related
UP,1222PR017,2022-12-27,4:55 PM,Derailment,0,CHICAGO,IL,24,2.0,Day,Cloudy,Yard,Yard/switching,6,1535,10224,11759,T207,41.86129,-87.679027,17.9,17.2,36.6,-0.6999999999999993,19.400000000000002,18.700000000000003,Track-related
CRL,CRL181985,2018-01-18,10:40 PM,Derailment,0,CHICAGO,IL,20,4.0,Dark,Clear,Yard,Freight Train,6,76238,40000,116238,T110,41.679234,-87.558599,14.4,25.0,34.4,10.6,9.399999999999999,20.0,Track-related
NICD,N1500008,2015-02-06,7:30 PM,Other (describe in narrative),0,CHICAGO,IL,24,4.0,Dark,Clear,Main,Commuter Train - Pulling,45,15192,0,23035,T404,41.77211,-87.592459,9.7,22.9,35.1,13.2,12.200000000000003,25.400000000000002,Track-related
NIRC,MEI013,2015-02-06,7:30 PM,Other (describe in narrative),0,CHICAGO,IL,24,4.0,Dark,Clear,Main,EMU,0,0,7843,23035,T404,41.77211,-87.592459,9.7,22.9,35.1,13.2,12.200000000000003,25.400000000000002,Track-related
NIRC,2018070726,2018-04-30,8:24 AM,Derailment,0,CHICAGO,IL,0,2.0,Day,Clear,Yard,EMU,9,32854,5457,38311,T319,41.858024,-87.618063,45.3,61.5,73.1,16.200000000000003,11.599999999999994,27.799999999999997,Track-related
NIRC,9419001468,2023-04-19,12:00 AM,Raking collision,0,CHICAGO,IL,64,4.0,Dark,Clear,Main,Spec. MoW Equip.,0,0,2535,17523,T499,41.77182,-87.59243,45.8,52.2,65.5,6.400000000000006,13.299999999999997,19.700000000000003,Track-related
NICD,N2300007,2023-04-19,12:00 AM,Raking collision,0,CHICAGO,IL,64,4.0,Dark,Clear,Main,Cut of cars,0,14988,0,17523,T499,41.77182,-87.59243,45.8,52.2,65.5,6.400000000000006,13.299999999999997,19.700000000000003,Track-related
NIRC,9419002216,2024-07-01,7:39 AM,Other impacts,0,CHICAGO,IL,87,1.0,Dawn,Clear,Main,EMU,5,0,29882,59515,T404,41.88051,-87.6231,66.6,66.7,75.0,0.10000000000000853,8.299999999999997,8.400000000000006,Track-related
ATK,163392,2020-03-07,1:19 PM,Derailment,0,CHICAGO RIDGE,IL,51,2.0,Day,Clear,Main,Passenger Train - Pulling,12,219968,104500,324468,T222,41.878648,-87.642595,33.9,37.6,51.8,3.700000000000003,14.199999999999996,17.9,Other
CSX,000155469,2015-12-23,12:10 PM,Derailment,0,CHILI CENTER,NY,55,2.0,Day,Cloudy,Main,Freight Train,25,2900,21800,24700,E68C,43.107666,-77.809449,51.4,50.9,57.7,-0.5,6.800000000000004,6.300000000000004,Other
BNSF,CH1116108,2016-11-21,10:25 AM,Obstruction,0,CHILLICOTHE,IL,40,2.0,Day,Clear,Main,Freight Train,44,500,0,100500,H402,40.929758,-89.427908,27.7,30.6,38.6,2.900000000000002,8.0,10.900000000000002,Other
BNSF,CH1116108,2016-11-21,10:25 AM,Obstruction,0,CHILLICOTHE,IL,40,2.0,Day,Clear,Main,Maint./inspect Car,0,100000,0,100500,H402,40.929758,-89.427908,27.7,30.6,38.6,2.900000000000002,8.0,10.900000000000002,Other
BNSF,CH0420116,2020-04-30,9:45 AM,Derailment,0,CICERO,IL,50,2.0,Day,Clear,Yard,Light loco(s),5,765,15154,15919,H704,41.836916,-87.774446,53.1,46.6,53.6,-6.5,7.0,0.5,Other
BNSF,CH0215112,2015-02-23,12:30 AM,Derailment,0,CICERO,IL,4,4.0,Dark,Clear,Yard,Freight Train,5,20458,0,24343,H704,41.767426,-87.796281,19.4,6.3,18.6,-13.099999999999998,12.3,-0.7999999999999972,Other
BNSF,CH0919109,2019-09-29,12:53 AM,Derailment,0,CICERO,IL,70,4.0,Dark,Cloudy,Yard,Yard/switching,5,29493,0,29493,H307,41.842734,-87.754185,61.8,64.6,76.0,2.799999999999997,11.400000000000006,14.200000000000003,Other
NS,152614,2023-03-22,7:19 AM,Other (describe in narrative),0,CINCINNATI,OH,45,1.0,Dawn,Rain,Yard,Freight Train,5,6620,10790,17410,H702,39.110448,-84.540813,42.8,48.9,62.1,6.100000000000001,13.200000000000003,19.300000000000004,Other
CSX,000189994,2020-05-01,7:56 PM,Side collision,0,CINCINNATI,OH,59,3.0,Dusk,Cloudy,Yard,Yard/switching,0,34000,50,49350,H307,39.168057,-84.512297,49.8,54.5,65.9,4.700000000000003,11.400000000000006,16.10000000000001,Other
CSX,000189994,2020-05-01,7:56 PM,Side collision,0,CINCINNATI,OH,59,3.0,Dusk,Cloudy,Yard,Freight Train,3,15300,0,49350,H307,39.168057,-84.512297,49.8,54.5,65.9,4.700000000000003,11.400000000000006,16.10000000000001,Other
CSX,000156726,2016-02-02,1:00 AM,Other impacts,0,CINCINNATI,OH,35,4.0,Dark,Clear,Yard,Cut of cars,11,45126,0,45126,M407,39.104322,-84.538947,45.0,44.8,53.4,-0.20000000000000284,8.600000000000001,8.399999999999999,Other
CSX,000181808,2019-03-13,9:56 PM,Derailment,0,CINCINNATI,OH,60,4.0,Dark,Clear,Yard,Yard/switching,3,72217,14296,86513,T102,37.850351,-84.256836,38.6,52.3,62.8,13.699999999999996,10.5,24.199999999999996,Track-related
CSX,000174744,2018-02-14,7:31 PM,Derailment,0,CINCINNATI,OH,65,3.0,Dusk,Cloudy,Yard,Yard/switching,7,41266,1000,42266,T207,39.124551,-84.542521,32.8,49.6,62.7,16.800000000000004,13.100000000000001,29.900000000000006,Track-related
CSX,000165580,2017-01-01,12:50 AM,Derailment,0,CINCINNATI,OH,30,4.0,Dark,Cloudy,Yard,Yard/switching,10,51085,1944,53029,T319,39.104289,-84.538797,38.3,38.5,48.7,0.20000000000000284,10.200000000000003,10.400000000000006,Track-related
WE,180043,2018-04-10,8:35 AM,Derailment,0,CLAIRTON,PA,40,2.0,Day,Clear,Yard,Freight Train,6,1766,86566,88332,T110,40.297483,-79.897253,30.8,34.8,43.5,3.9999999999999964,8.700000000000003,12.7,Track-related
BNSF,HL0223103,2023-02-03,8:55 AM,Derailment,0,CLAREMORE,OK,23,1.0,Dawn,Clear,Industry,Freight Train,4,107520,14000,121520,T110,36.232089,-95.714397,31.3,32.4,44.2,1.0999999999999979,11.800000000000004,12.900000000000002,Track-related
UP,0316WH008,2016-03-21,6:00 AM,Derailment,0,CLAREMORE,OK,30,4.0,Dark,Clear,Main,Freight Train,34,11760,6600,18360,T108,36.320637,-95.613253,39.3,47.0,59.9,7.700000000000003,12.899999999999999,20.6,Track-related
BB,2017T102,2017-01-09,5:30 AM,Derailment,0,CLARKSVILLE,VA,24,4.0,Dark,Clear,Main,Freight Train,4,17287,28444,45731,M204,36.600725,-78.551958,17.4,16.1,30.4,-1.2999999999999972,14.299999999999997,13.0,Other
CWRO,201514,2015-02-10,11:13 AM,Derailment,0,CLEVELAND,OH,20,2.0,Day,Cloudy,Industry,Yard/switching,2,7500,6000,13500,H701,41.28,-81.8,19.1,19.9,27.5,0.7999999999999972,7.600000000000001,8.399999999999999,Other
CSX,000155556,2015-12-28,2:05 PM,Derailment,0,CLEVELAND,OH,37,2.0,Day,Rain,Yard,Freight Train,8,213642,5060,218702,T220,41.575262,-81.548488,46.6,37.4,45.2,-9.200000000000003,7.800000000000004,-1.3999999999999986,Other
NS,131029,2018-09-20,11:55 AM,Derailment,0,CLEVELAND,OH,72,2.0,Day,Clear,Yard,Yard/switching,6,37000,250,37250,H306,41.453135,-81.685041,70.0,73.2,80.7,3.200000000000003,7.5,10.700000000000003,Other
NS,123856,2017-02-06,2:52 AM,Other (describe in narrative),0,CLEVELAND,OH,25,4.0,Dark,Cloudy,Main,Freight Train,11,15000,0,15000,E21C,41.428763,-81.816004,34.8,37.7,53.2,2.9000000000000057,15.5,18.400000000000006,Other
CWRO,201680,2016-12-11,3:45 PM,Derailment,0,CLEVELAND,OH,30,2.0,Day,Cloudy,Industry,Yard/switching,10,30000,1500,31500,T106,41.464336,-81.677548,25.9,28.5,35.1,2.6000000000000014,6.600000000000001,9.200000000000003,Track-related
CSX,000167102,2017-02-27,5:24 PM,Derailment,0,CLEVELAND,OH,42,3.0,Dusk,Cloudy,Yard,Yard/switching,7,24270,1176,25446,T311,41.571339,-81.55684,33.5,44.0,51.8,10.5,7.799999999999997,18.299999999999997,Track-related
CWRO,201841,2018-08-31,9:00 AM,Derailment,0,CLEVELAND,OH,70,2.0,Day,Clear,Industry,Yard/switching,4,8000,6000,14000,T113,41.4684,-81.6761,71.2,70.4,77.8,-0.7999999999999972,7.3999999999999915,6.599999999999994,Track-related
CWRO,201622,2016-03-30,11:45 AM,Derailment,0,CLEVELAND,OH,40,2.0,Day,Clear,Industry,Yard/switching,10,7500,7500,15000,T314,41.2828,-81.404,40.3,51.6,61.7,11.300000000000004,10.100000000000001,21.400000000000006,Track-related
IC,1148829,2024-04-26,11:45 AM,Derailment,0,CLIFTON,IL,58,2.0,Day,Rain,Industry,Freight Train,10,25100,9500,34600,T205,40.935838,-87.934402,45.2,50.8,67.9,5.599999999999994,17.10000000000001,22.700000000000003,Track-related
CSX,000163861,2016-10-26,3:26 PM,Other impacts,0,CLIFTON FORGE,VA,62,2.0,Day,Clear,Main,Cut of cars,0,12126,0,64941,H302,37.813794,-79.828813,44.9,46.0,53.1,1.1000000000000014,7.100000000000001,8.200000000000003,Other
