reportingrailroadcode,accidentnumber,date,time,accidenttype,hazmatreleasedcars,station,stateabbr,temperature,visibility_code,visibility,weathercondition,tracktype,equipmenttype,trainspeed,equipmentdamagecost,trackdamagecost,totaldamagecost,primaryaccidentcausecode,latitude,longitude
BNSF,NW0222108,2022-02-11,7:20 PM,Derailment,0,KLAMATH FALLS,OR,40.0,3,Dusk,Clear,Yard,Yard/switching,6,34524,53000,87524,T401,42.202491999999999,-121.77660299999999
UP,0219MA026,2019-02-09,5:15 PM,Derailment,0,LONGVIEW,TX,37.0,2,Day,Cloudy,Main,,0,0,99700,103643,T002,32.498556000000001,-94.708786000000003
NS,132592,2019-01-25,6:13 AM,Derailment,0,YORK,PA,25.0,1,Dawn,Clear,Yard,Yard/switching,8,37649,22250,59899,T207,39.968505999999998,-76.724521999999993
LRWY,17040601,2017-04-06,12:30 PM,Derailment,0,WYALUSING,PA,45.0,2,Day,Rain,Siding,Freight Train,3,98000,3000,101000,T210,41.658793000000003,-76.250752000000006
CGIV,20190512,2019-05-12,11:00 AM,Derailment,0,CHANNELVIEW,TX,80.0,2,Day,Clear,Industry,,0,0,150000,200000,T099,29.745099,-95.115513000000007
UP,0821HO015,2021-08-10,1:40 PM,Derailment,0,CROSBY,TX,91.0,2,Day,Clear,Main,,0,0,171667,395842,T102,29.916485999999999,-95.059667000000005
CRSH,146739,2023-04-05,1:00 PM,Derailment,0,BENSALEM,PA,57.0,2,Day,Clear,Main,Freight Train,5,299,0,51426,T314,40.074753999999999,-74.946764999999999
BNSF,TC0722102,2022-07-05,5:45 AM,Derailment,0,CANTON,SD,75.0,1,Dawn,Clear,Industry,Light loco(s),10,17144,0,17144,T311,43.298672000000003,-96.591285999999997
BNSF,RD0817114,2017-08-17,11:53 PM,Derailment,0,HOUSTON,TX,79.0,4,Dark,Clear,Yard,Yard/switching,7,11766,6000,17766,T314,29.700033999999999,-95.327338999999995
UP,0220TO029,2020-02-25,1:00 AM,Derailment,0,MIDLOTHIAN,TX,47.0,4,Dark,Clear,Industry,Yard/switching,8,1262,15221,16483,T402,32.518639999999998,-97.010243000000003
UP,0621SX005,2021-06-06,11:45 AM,Derailment,0,SAN MARCOS,TX,80.0,2,Day,Cloudy,Main,Freight Train,22,637905,653172,1291077,T001,29.818697,-98.006949000000006
RCPE,RCP648420D,2020-12-23,6:30 PM,Derailment,0,RAPID CITY,SD,25.0,4,Dark,Cloudy,Yard,Yard/switching,5,1810,30000,31810,T103,44.058900000000001,-103.19065999999999
CSX,000199039,2021-07-24,11:00 AM,Derailment,0,FLORENCE,SC,83.0,2,Day,Clear,Yard,Freight Train,8,190198,5780,195978,T207,34.198275000000002,-79.762501999999998
UP,1219TO028,2019-12-21,5:25 AM,Derailment,0,FORT WORTH,TX,52.0,1,Dawn,Fog,Industry,Freight Train,7,268561,2200,270761,T113,32.720066000000003,-97.328182999999996
CSX,000185768,2019-10-05,2:09 AM,Derailment,0,NORTH CHARLESTON,SC,74.0,4,Dark,Clear,Yard,Yard/switching,7,81534,2005,83539,T199,32.856969999999997,-80.022953999999999
CORP,COR675415D,2015-01-02,7:52 AM,Derailment,0,COTTAGE GROVE,OR,22.0,4,Dark,Clear,Main,Freight Train,10,10000,49000,59000,T207,43.739615999999998,-123.185738
SEPA,SEPA111122,2022-11-11,11:14 PM,Other (describe in narrative),0,NEW BRITAIN,PA,50.0,4,Dark,Clear,Main,EMU,0,0,25680,25680,T404,40.297530000000002,-75.179579000000004
UP,0721TO016,2021-07-12,8:00 PM,Derailment,0,BIG SPRING,TX,76.0,4,Dark,Clear,Yard,Yard/switching,6,957,17576,18533,T111,32.254651000000003,-101.479088
ATK,136310,2015-02-15,1:15 PM,Other (describe in narrative),0,CHESTER,PA,8.0,2,Day,Clear,Main,,0,0,4713,15213,T404,39.844185000000003,-75.371802000000002
POHC,POH949321R,2021-12-02,2:10 PM,Derailment,0,PITTSBURGH,PA,53.0,2,Day,Clear,Industry,Freight Train,2,0,12450,12450,T110,40.444305,-80.079151999999993
NS,124199,2017-03-05,9:45 PM,Derailment,1,READING,PA,37.0,4,Dark,Clear,Yard,Freight Train,10,14200,4500,18700,T205,40.345779999999998,-75.923080999999996
CSX,000171721,2017-09-18,11:30 PM,Derailment,0,ABBEVILLE,SC,66.0,4,Dark,Cloudy,Main,Freight Train,33,53880,161178,215058,T110,34.147886999999997,-82.253985999999998
DSRC,DSRC071517,2017-07-15,3:20 PM,Derailment,0,KIMBALL,SD,100.0,2,Day,Clear,Main,Freight Train,24,1079000,109750,1188750,T109,43.744194,-98.839096999999995
CSX,000173714,2018-01-01,3:25 AM,Derailment,0,CONNELLSVILLE,PA,-8.0,4,Dark,Clear,Main,Freight Train,4,19832,0,58477,T399,40.015495999999999,-79.591662999999997
BNSF,TC0419109,2019-04-17,11:15 AM,Derailment,0,WORTHING,SD,49.0,2,Day,Clear,Main,Freight Train,10,0,40000,40000,T001,43.193263999999999,-96.440905000000001
UP,0720TO013,2020-07-14,4:50 PM,Derailment,0,EL PASO,TX,101.0,2,Day,Cloudy,Main,Freight Train,8,8588,427998,436586,T108,31.775407999999999,-106.462789
SEPA,38200,2019-12-26,2:10 PM,Other (describe in narrative),0,PHILADELPHIA,PA,48.0,2,Day,Clear,Main,EMU,20,9110,8396,17506,T404,39.955537999999997,-75.177555999999996
SEPA,SEPA022023,2023-02-20,11:55 PM,Obstruction,0,MIQUON,PA,35.0,4,Dark,Clear,Main,EMU,45,0,36672,36672,T404,40.061086000000003,-75.269109
UP,1216HO034,2016-12-18,5:25 PM,Derailment,0,HOUSTON,TX,40.0,2,Day,Clear,Yard,Yard/switching,8,2260,102014,104274,T299,29.82977,-95.288838999999996
BNSF,RD1019113,2019-10-21,5:30 PM,Derailment,0,SWEETWATER,TX,75.0,3,Dusk,Clear,Yard,,0,0,20000,1233333,T108,32.497495000000001,-100.40091099999999
SEPA,SEPA040123,2023-04-01,6:30 PM,Other (describe in narrative),0,BRYN ATHYN,PA,65.0,2,Day,Rain,Main,EMU,0,0,93345,93345,T404,40.127983,-75.020486000000005
RBMN,R12082305,2023-12-08,11:59 AM,Derailment,0,POTTSVILLE,PA,45.0,2,Day,Clear,Main,Freight Train,3,0,22392,22392,T110,40.674356000000003,-76.187468999999993
UP,0119GC021,2019-01-03,9:57 AM,Derailment,0,TROUP,TX,44.0,2,Day,Cloudy,Industry,Yard/switching,5,11225,19599,30824,T110,32.128287999999998,-95.128444000000002
BNSF,RD0218123,2018-02-24,6:45 PM,Derailment,0,DAYTON,TX,71.0,3,Dusk,Clear,Yard,Yard/switching,10,250,29498,29748,T311,30.007625999999998,-94.905686000000003
UP,0920TO005,2020-09-07,2:48 AM,Derailment,0,EL PASO,TX,77.0,4,Dark,Clear,Yard,Freight Train,7,22558,3132,25690,T319,31.743898000000002,-106.37700100000001
BNSF,NW0623109,2023-06-12,1:27 AM,Derailment,0,KLAMATH FALLS,OR,52.0,4,Dark,Clear,Yard,Freight Train,4,3000,17212,20212,T316,42.191020000000002,-121.76465899999999
NS,133849,2019-05-06,4:00 PM,Derailment,0,MCVEYTOWN,PA,70.0,3,Dusk,Clear,Main,Freight Train,37,514016,424790,938806,T001,40.511082999999999,-77.682901000000001
CIRR,CIR746315,2015-08-25,8:40 AM,Derailment,0,CEDAR SPRINGS,GA,80.0,2,Day,Clear,Yard,Freight Train,12,7470,5000,12470,T210,31.081596000000001,-85.020124999999993
UP,0718FW026,2018-07-10,6:10 PM,Derailment,0,ODESSA,TX,95.0,2,Day,Clear,Yard,Yard/switching,4,283325,23540,306865,T110,31.873131000000001,-102.311222
SEPA,SEP011521,2021-01-15,4:53 PM,Other (describe in narrative),0,PHILADELPHIA,PA,48.0,2,Day,Cloudy,Main,EMU,50,10000,5948,15948,T404,39.893335,-75.243466999999995
UP,0220GC024,2020-02-20,3:41 AM,Derailment,0,FREEPORT,TX,55.0,4,Dark,Cloudy,Industry,Yard/switching,10,79390,117264,196654,T208,29.000133999999999,-95.359611000000001
RCPE,RCP173922D,2022-08-28,10:00 PM,Derailment,0,FORT PIERRE,SD,70.0,4,Dark,Clear,Main,Freight Train,10,26710,12000,38710,T101,44.261904000000001,-100.63467799999999
ATK,180505,2024-05-31,10:00 AM,Derailment,0,MIDDLETOWN,PA,71.0,2,Day,Clear,Main,Spec. MoW Equip.,5,0,23000,23000,T199,40.170070000000003,-76.718787000000006
BNSF,SW1018112,2018-10-23,5:00 PM,Derailment,0,EL PASO,TX,75.0,3,Dusk,Clear,Yard,Yard/switching,7,15036,14000,29036,T314,31.751704,-106.489306
ATK,174294,2023-04-05,2:12 PM,Derailment,0,BENSALEM,PA,57.0,2,Day,Clear,Siding,,0,0,51127,51426,T314,40.074753999999999,-74.946764999999999
ATK,165617,2020-10-16,6:55 PM,Other (describe in narrative),0,DOWNINGTOWN,PA,51.0,3,Dusk,Rain,Main,Passenger Train - Pulling,90,18569,5346,23915,T404,39.982841000000001,-75.830209999999994
UP,0218HO010,2018-02-07,12:00 PM,Derailment,0,GALVESTON,TX,40.0,2,Day,Clear,Yard,Freight Train,3,216616,39600,256216,T207,29.292884000000001,-94.842324000000005
UP,0720TO042,2020-07-30,1:18 AM,Derailment,0,FORT WORTH,TX,81.0,4,Dark,Cloudy,Yard,Yard/switching,3,477,0,14263,T311,32.772928,-97.327910000000003
SEPA,SEPA040223,2023-04-02,6:17 AM,Other (describe in narrative),0,RADNOR,PA,45.0,1,Dawn,Cloudy,Main,EMU,0,0,27383,54766,T404,40.044787999999997,-75.359030000000004
AWRR,181209001,2018-12-09,4:00 AM,Derailment,0,AUSTIN,TX,40.0,1,Dawn,Clear,Main,Freight Train,8,42000,0,42000,T110,30.259688000000001,-97.716654000000005
NS,141788,2021-06-06,5:45 AM,Derailment,0,COLUMBIA,SC,72.0,1,Dawn,Clear,Yard,Yard/switching,6,2780,30028,32808,T207,33.985295999999998,-81.039106000000004
UP,0118LK008,2018-01-05,7:45 AM,Derailment,0,LONGVIEW,TX,30.0,2,Day,Clear,Yard,Yard/switching,7,4470,7720,12190,T111,32.495206000000003,-94.726826000000003
RCPE,RCP604220D,2020-11-10,10:24 PM,Derailment,0,HURON,SD,20.0,4,Dark,Clear,Yard,Yard/switching,6,86698,5000,91698,T207,44.371493999999998,-98.241939000000002
UP,0719HO001,2019-07-02,1:11 AM,Derailment,0,HOUSTON,TX,80.0,4,Dark,Cloudy,Main,Freight Train,3,21666,9940,31606,T001,29.72043,-95.283693999999997
SEPA,21769,2016-08-09,5:30 PM,Other (describe in narrative),0,COATESVILLE,PA,84.0,2,Day,Clear,Main,Passenger Train - Pulling,0,0,0,13287,T404,39.988720000000001,-75.806354999999996
MH,MH171201A,2017-12-01,5:10 PM,Derailment,0,HOOD RIVER,OR,41.0,3,Dusk,Cloudy,Main,Passenger Train - Pulling,12,2587,15836,18423,T110,45.680016999999999,-121.505447
ATK,169386,2022-01-04,4:58 AM,Other (describe in narrative),0,PHILADELPHIA,PA,19.0,4,Dark,Clear,Main,Passenger Train - Pulling,5,12256,4669,16925,T404,39.961213000000001,-75.183088999999995
RCPE,RCP517523D,2023-08-31,4:20 AM,Derailment,0,BUFFALO GAP,SD,60.0,4,Dark,Clear,Main,Freight Train,10,60000,55000,115000,T207,43.544448000000003,-103.271536
ATK,140629,2016-01-04,5:37 PM,Other (describe in narrative),0,CORNWELLS HEIGHTS,PA,23.0,4,Dark,Clear,Main,Passenger Train - Pulling,60,10000,6000,16000,T404,40.285313000000002,-74.800621000000007
UP,0719GC004,2019-07-03,2:50 PM,Derailment,0,CORPUS CHRISTI,TX,99.0,2,Day,Cloudy,Industry,Yard/switching,6,222995,99,223094,T111,27.815999999999999,-97.495310000000003
DL,240101,2024-01-12,9:45 AM,Derailment,0,SCRANTON,PA,40.0,2,Day,Clear,Siding,Freight Train,5,2916,110818,113734,T110,41.402926999999998,-75.635514999999998
ATK,172597,2022-11-02,4:25 AM,Other (describe in narrative),0,PENN VALLEY,PA,56.0,4,Dark,Clear,Main,Passenger Train - Pulling,110,18457,21532,39989,T404,40.181033999999997,-74.785979999999995
RCPE,RCP761115D,2015-06-23,12:00 PM,Derailment,0,RAPID CITY,SD,78.0,2,Day,Cloudy,Yard,Yard/switching,5,10000,5000,15000,T001,44.062761999999999,-103.191366
UP,0320PN021,2020-03-22,10:05 PM,Derailment,0,PORTLAND,OR,56.0,4,Dark,Cloudy,Yard,Freight Train,6,12389,5082,17471,T309,45.544407999999997,-122.687341
NS,120935,2016-06-19,1:32 PM,Derailment,0,MOUNTAIN TOP,PA,87.0,2,Day,Clear,Main,Freight Train,25,56153,0,56153,T109,41.170585000000003,-75.872958999999994
DGNO,DGN372519,2019-02-12,4:10 PM,Derailment,0,DALLAS,TX,50.0,2,Day,Clear,Yard,Freight Train,7,100000,0,100000,T111,32.761056000000004,-96.789934000000002
ATK,141700,2016-03-29,12:15 AM,Derailment,0,PHILADELPHIA,PA,50.0,4,Dark,Clear,Yard,Yard/switching,3,16082,5800,21882,T314,39.95722,-75.183104
ATK,176369,2023-09-09,9:45 AM,Other (describe in narrative),0,MOUNT JOY,PA,75.0,2,Day,Cloudy,Main,Passenger Train - Pulling,56,19152,5115,24267,T404,40.106411999999999,-76.444740999999993
RBMN,L04022401,2024-04-02,12:30 PM,Derailment,0,RANSOM,PA,42.0,2,Day,Rain,Siding,Freight Train,6,3924,10027,13951,T101,41.386181000000001,-75.799910999999994
UP,0724PN031,2024-07-23,9:38 PM,Derailment,0,STANFIELD,OR,90.0,4,Dark,Clear,Yard,Freight Train,7,31127,45014,77141,T315,45.787864999999996,-119.23371400000001
NS,129211,2018-04-20,11:30 AM,Derailment,0,ALTOONA,PA,50.0,2,Day,Clear,Yard,Work train,2,3807,17208,21015,T110,40.529625000000003,-78.385380999999995
NS,154913,2023-11-30,9:30 PM,Derailment,0,CONWAY,PA,20.0,4,Dark,Clear,Yard,Yard/switching,2,0,200,200,T314,40.672362,-80.251825999999994
BNSF,RD0719125,2019-07-27,5:10 PM,Derailment,0,JUSTIN,TX,95.0,3,Dusk,Clear,Yard,Freight Train,4,8206,3000,11206,T102,32.999474999999997,-97.354140000000001
UP,0118SA010,2018-01-18,6:45 PM,Derailment,0,SAN ANTONIO,TX,48.0,3,Dusk,Clear,Yard,Freight Train,7,47190,24152,71342,T207,29.374078000000001,-98.559572000000003
NBER,NBER082721,2021-08-27,2:40 PM,Derailment,0,BELLEFONTE,PA,85.0,2,Day,Clear,Yard,Freight Train,8,10000,12000,22000,T403,40.915669000000001,-77.786553999999995
BNSF,RD0419120,2019-04-15,8:45 PM,Derailment,0,JUSTIN,TX,63.0,3,Dusk,Clear,Yard,Yard/switching,9,8568,4000,12568,T102,33.000464999999998,-97.354410000000001
CVLY,04142020,2020-04-14,6:30 AM,Derailment,0,CLACKAMAS,OR,45.0,1,Dawn,Clear,Main,Freight Train,3,0,13500,13500,T110,45.251539999999999,-122.34169300000001
RCPE,RCP094919D,2019-06-26,11:40 PM,Derailment,0,NEW UNDERWOOD,SD,67.0,4,Dark,Clear,Main,Freight Train,37,118748,66000,184748,T106,44.090809,-102.835357
NS,127478,2017-11-20,7:30 AM,Derailment,0,WEST MIFFLIN,PA,34.0,1,Dawn,Cloudy,Yard,Freight Train,3,50000,60320,110320,T110,40.394334000000001,-79.870305000000002
SEPA,SEPA101223,2023-10-12,7:03 AM,Other (describe in narrative),0,PHILADELPHIA,PA,60.0,2,Day,Clear,Main,EMU,0,0,15838,15838,T404,40.041150999999999,-75.112033999999994
RVSC,RV17042,2017-11-01,4:50 PM,Derailment,0,HARLINGEN,TX,85.0,2,Day,Clear,Yard,,0,0,6076,11685,T319,26.212171999999999,-97.710768999999999
UP,1216FW008,2016-12-04,5:40 AM,Derailment,0,FORT WORTH,TX,48.0,1,Dawn,Clear,Yard,Light loco(s),5,2438,12749,15187,T112,32.711818999999998,-97.326811000000006
CSX,000175055,2018-03-07,1:15 AM,Derailment,0,GREENWOOD,SC,45.0,4,Dark,Clear,Industry,Freight Train,6,14132,754,14886,T110,34.234099000000001,-82.062067999999996
NS,136280,2019-11-22,4:14 PM,Derailment,0,ALLENTOWN,PA,27.0,3,Dusk,Clear,Yard,Light loco(s),5,67,21524,21591,T110,40.611930000000001,-75.426705999999996
UP,0117PD013,2017-01-09,6:34 PM,Derailment,0,ADAMS,OR,20.0,4,Dark,Cloudy,Main,Freight Train,23,482615,52800,535415,T199,45.700564999999997,-118.378024
NS,120074,2016-04-09,9:40 PM,Derailment,0,BETHLEHEM,PA,35.0,4,Dark,Clear,Yard,Freight Train,6,3850,0,23850,T314,40.614390999999998,-75.378473
TXPF,06232020,2020-06-23,4:10 PM,Derailment,0,MILES,TX,90.0,2,Day,Clear,Siding,Freight Train,8,24604,1695,26299,T314,31.596698,-100.180944
UP,0619ST026,2019-06-26,7:20 PM,Derailment,0,EL PASO,TX,99.0,3,Dusk,Clear,Industry,Yard/switching,4,3313,7794,11107,T111,31.765473,-106.401509
UP,0115PD021,2015-01-01,9:24 PM,Derailment,0,ALBANY,OR,27.0,4,Dark,Clear,Industry,,0,0,144482,264094,T205,44.63391,-123.095833
BNSF,TC0318114,2018-03-26,11:53 AM,Derailment,0,SIOUX FALLS,SD,33.0,2,Day,Rain,Yard,Freight Train,10,237720,170000,407720,T111,43.545807000000003,-96.718504999999993
SEPA,SEPA090121,2021-09-01,5:40 PM,Other (describe in narrative),0,DOYLESTOWN,PA,75.0,2,Day,Rain,Main,EMU,30,0,19135,19135,T404,40.298862999999997,-75.141666999999998
RCPE,RCP307723D,2023-01-27,2:30 AM,Derailment,0,CAPA,SD,22.0,4,Dark,Cloudy,Main,Freight Train,9,107107,82407,189514,T207,44.130037999999999,-100.843176
TIBR,180507006,2018-05-07,3:00 PM,Derailment,0,BON WEIR,TX,85.0,2,Day,Clear,Main,Freight Train,10,25000,64000,89000,T202,30.737033,-93.652544000000006
NS,134120,2019-05-30,1:30 AM,Derailment,0,CRESSON,PA,64.0,4,Dark,Clear,Yard,Light loco(s),3,25973,1000,26973,T314,40.461852999999998,-78.591971000000001
PNWR,PNW675215R,2015-01-01,9:24 PM,Derailment,0,ALBANY,OR,27.0,4,Dark,Clear,Main,Freight Train,5,119612,0,264094,T113,44.633674999999997,-123.096287
BNSF,RD0119103,2019-01-04,12:05 AM,Derailment,0,BROWNWOOD,TX,32.0,4,Dark,Cloudy,Yard,,0,0,8946,11445,T110,31.713995000000001,-98.967608999999996
RCPE,RCP458219,2019-08-01,3:30 AM,Derailment,0,NEW UNDERWOOD,SD,75.0,4,Dark,Fog,Main,Freight Train,35,1065159,500000,1565159,T002,44.070113999999997,-102.715467
NBER,NBER030121,2021-03-01,10:00 AM,Derailment,0,BELLEFONTE,PA,40.0,2,Day,Rain,Main,Freight Train,10,0,22504,22504,T001,40.910862999999999,-77.781994999999995
NS,120914,2016-06-17,8:45 AM,Derailment,0,WEST NORRITON,PA,77.0,2,Day,Clear,Yard,Freight Train,8,14825,3321,18146,T313,40.115085999999998,-75.395279000000002
URR,6113,2016-12-19,7:50 PM,Derailment,0,BRADDOCK,PA,15.0,4,Dark,Clear,Yard,Yard/switching,8,5478,6957,12435,T319,40.384273,-79.845231999999996
DSRC,DSRC091119,2019-09-11,4:10 PM,Derailment,0,RELIANCE,SD,81.0,2,Day,Clear,Main,Freight Train,13,300000,100000,400000,T001,43.878050000000002,-99.615830000000003
CSX,000165015,2016-12-07,11:18 PM,Derailment,0,EASTOVER,SC,41.0,4,Dark,Clear,Industry,Freight Train,5,74377,2392,76769,T205,33.867711,-80.661693999999997
BNSF,RD0521108,2021-05-07,3:11 PM,Derailment,0,TENAHA,TX,81.0,2,Day,Cloudy,Main,Freight Train,24,948052,0,1288802,T109,31.966604,-94.025621999999998
UP,0220HO014,2020-02-10,4:45 AM,Derailment,0,JERSEY VILLAGE,TX,69.0,1,Dawn,Cloudy,Industry,Freight Train,4,2124,10678,12802,T110,29.870076000000001,-95.579907000000006
BNSF,RD0618106,2018-06-09,5:55 PM,Derailment,0,EVADALE,TX,90.0,3,Dusk,Cloudy,Siding,Freight Train,5,2025,75000,77025,T110,30.348375999999998,-94.074136999999993
NS,141053,2021-03-28,10:30 AM,Derailment,0,NAZARETH,PA,52.0,2,Day,Rain,Industry,Freight Train,7,750,64272,65022,T110,40.728665999999997,-75.339601000000002
NS,156015,2024-03-12,10:00 AM,Derailment,0,EAST PETERSBURG,PA,60.0,2,Day,Clear,Industry,Freight Train,8,8000,6965,14965,T315,40.093788000000004,-76.359989999999996
NS,154975,2023-12-06,2:40 PM,Derailment,0,MILL CREEK,PA,38.0,2,Day,Clear,Industry,Freight Train,9,10055,2609,12664,T111,40.422925999999997,-77.930012000000005
