reportingrailroadcode,accidentnumber,date,time,accidenttype,hazmatreleasedcars,station,stateabbr,temperature,visibility_code,visibility,weathercondition,tracktype,equipmenttype,trainspeed,equipmentdamagecost,trackdamagecost,totaldamagecost,primaryaccidentcausecode,latitude,longitude
NS,126894,2017-10-04,10:50 AM,Derailment,0,ALTOONA,PA,68.0,2,Day,Clear,Yard,Yard/switching,5,4407,26933,34855,H306,40.529625000000003,-78.385380999999995
BNSF,PR0123113,2023-01-24,6:01 AM,Derailment,0,SHERIDAN,WY,29.0,1,Dawn,Cloudy,Yard,Freight Train,5,500,11424,11924,E71L,44.809091000000002,-106.952567
ATK,168668,2021-10-11,12:50 PM,Derailment,0,WOODLAND,WA,57.0,2,Day,Cloudy,Main,Passenger Train - Pulling,4,116340,0,118140,H702,45.880974000000002,-122.75355500000001
WN,12222016,2016-12-22,7:30 PM,Derailment,0,CHIPPEWA FALLS,WI,31.0,4,Dark,Clear,Siding,Freight Train,10,9250,11580,20830,H702,44.994283000000003,-91.384230000000002
BNSF,PR0624106,2024-06-24,5:40 PM,Derailment,0,CLEARMONT,WY,96.0,3,Dusk,Clear,Main,Freight Train,26,888922,444000,1332922,M505,44.685836999999999,-106.352644
LS,LS0324113,2024-03-04,11:00 AM,Derailment,0,KELSO,WA,40.0,2,Day,Cloudy,Yard,Yard/switching,10,0,0,23000,E67C,46.119078999999999,-122.92164200000001
BNSF,NW1121109,2021-11-16,1:43 PM,Derailment,0,SUMAS,WA,40.0,2,Day,Rain,Yard,Cut of cars,0,272697,30000,302697,M103,48.999645999999998,-122.26645600000001
BNSF,CH0816121,2016-08-16,3:30 PM,Obstruction,0,COOK,IL,85.0,2,Day,Cloudy,Main,,0,0,0,45528,M404,37.374119999999998,-88.955360999999996
BNSF,NW0622104,2022-06-09,7:05 PM,Derailment,0,SEATTLE,WA,55.0,3,Dusk,Rain,Yard,Freight Train,5,3900,25000,28900,E69C,47.497394999999997,-122.274726
BNSF,NW0723109,2023-07-07,4:14 PM,Other impacts,0,PASCO,WA,95.0,2,Day,Clear,Yard,Yard/switching,10,29100,750,35810,M407,46.266151999999998,-119.100497
NS,144092,2022-01-20,10:00 AM,Other impacts,0,WEST FAIRVIEW,PA,72.0,2,Day,Clear,Yard,Single Car,6,19763,603,31271,H312,40.279806999999998,-76.922450999999995
BNSF,NW0222203,2022-02-20,11:58 PM,Hwy-rail crossing,0,PASCO,WA,40.0,4,Dark,Clear,Yard,Yard/switching,5,3000,10295,13295,M308,46.305430000000001,-119.11532699999999
UP,1214HO021,2014-12-11,10:17 AM,Obstruction,0,HOUSTON,TX,68.0,2,Day,Clear,Yard,Single Car,0,1021,0,13151,M202,29.816562000000001,-95.287975000000003
UP,0719TO015,2019-07-12,11:50 PM,Derailment,0,FORT WORTH,TX,82.0,4,Dark,Clear,Yard,Yard/switching,10,870,13170,14040,S006,32.720466000000002,-97.381822
CRSH,122688,2016-11-06,5:45 PM,Raking collision,0,NEWARK,NJ,52.0,3,Dusk,Clear,Yard,Yard/switching,3,44981,0,71062,S016,40.708914999999998,-74.138801999999998
NS,141778,2021-06-05,1:08 AM,Other impacts,0,WEST FAIRVIEW,PA,72.0,4,Dark,Clear,Yard,Yard/switching,8,59572,0,153550,E30C,40.279806999999998,-76.922450999999995
UP,0321SX019,2021-03-22,2:55 PM,Other impacts,0,EAGLE PASS,TX,73.0,2,Day,Cloudy,Yard,Freight Train,0,7428,0,94147,M404,28.757193000000001,-100.48781200000001
UP,1216DV024,2016-12-25,12:23 AM,Derailment,0,HANNA,WY,35.0,4,Dark,Clear,Main,Freight Train,50,13526,696,14222,E39C,41.837190999999997,-106.633464
UP,1223GL002,2023-12-06,11:40 AM,Derailment,0,SUPERIOR,WI,35.0,2,Day,Cloudy,Yard,,0,0,128645,140382,H506,46.677976000000001,-92.012435999999994
BNSF,NW0722108,2022-07-17,12:29 PM,Derailment,0,CENTRALIA,WA,74.0,2,Day,Cloudy,Yard,Yard/switching,10,6786,383000,389786,H703,46.731065999999998,-122.947209
UP,0724PR003,2024-07-03,12:40 AM,Other impacts,0,ALTOONA,WI,66.0,4,Dark,Clear,Yard,Cut of cars,0,8174,0,110910,H312,44.804887999999998,-91.422184000000001
BNSF,HL0424112,2024-04-13,7:41 PM,Derailment,0,WYANDOTTE,OK,74.0,3,Dusk,Clear,Main,Freight Train,39,452852,577739,1030591,E53C,36.795580999999999,-94.724619000000004
UP,1021RM008,2021-10-08,7:00 PM,Derailment,0,GREEN RIVER,WY,55.0,3,Dusk,Cloudy,Yard,Freight Train,5,44315,90725,135040,H703,41.519035000000002,-109.44381
MCRL,MC211020B,2021-10-20,12:17 PM,Other (describe in narrative),0,BERKLEY,MA,66.0,2,Day,Clear,Main,Spec. MoW Equip.,0,412000,1734,413734,M599,41.823925000000003,-71.028729999999996
IC,902522,2016-10-01,9:40 PM,Side collision,0,HARVEY,IL,58.0,4,Dark,Cloudy,Yard,Freight Train,3,10600,500,36157,H503,41.577893000000003,-87.656049999999993
UP,1219TO031,2019-12-29,7:55 PM,Other impacts,0,FORT WORTH,TX,44.0,3,Dusk,Clear,Yard,Single Car,0,1482,0,20093,H318,32.771726000000001,-97.327076000000005
BNSF,TC0917110,2017-09-25,3:50 AM,Derailment,0,SUPERIOR,WI,65.0,4,Dark,Cloudy,Yard,Freight Train,9,3000,230656,233656,H704,46.653132999999997,-92.060040000000001
UP,0120GL009,2020-01-11,3:52 PM,Derailment,0,SUPERIOR,WI,16.0,2,Day,Snow,Yard,Yard/switching,2,52612,300,52912,M101,46.653559999999999,-92.001724999999993
UP,1114FW036,2014-11-29,5:25 PM,Derailment,0,ODESSA,TX,50.0,2,Day,Clear,Yard,Light loco(s),3,12939,3628,16567,H702,31.870087000000002,-102.317165
UP,0523HL030,2023-05-24,3:00 AM,Derailment,0,DALHART,TX,58.0,4,Dark,Cloudy,Yard,Freight Train,4,11506,4897,16403,H704,36.078315000000003,-102.501891
UP,0821GC024,2021-08-14,9:10 PM,Derailment,0,WESTWEGO,LA,84.0,4,Dark,Clear,Main,Yard/switching,2,9109,23500,32609,M405,29.916528,-90.178771999999995
BNSF,PR0321103,2021-03-12,8:03 PM,Derailment,0,GILLETTE,WY,31.0,3,Dusk,Clear,Yard,Freight Train,10,222253,9000,231253,H318,44.289752999999997,-105.279856
UP,0323GP015,2023-03-13,10:50 PM,Derailment,0,MITCHELL,NE,36.0,4,Dark,Cloudy,Yard,Freight Train,12,37707,31835,69542,E49C,41.931342000000001,-103.86259200000001
CSX,000141581,2015-02-16,1:15 PM,Derailment,20,MOUNT CARBON,WV,18.0,2,Day,Snow,Main,Freight Train,33,2871245,199832,3071077,T221,38.143796999999999,-81.291657000000001
BNSF,TC1116109,2016-11-18,11:30 AM,Rear end collision,0,FOXBORO,WI,30.0,2,Day,Sleet,Main,Work train,0,500,0,450500,H997,46.505671,-92.232831000000004
WC,965388,2018-07-09,5:30 AM,Derailment,0,SUPERIOR,WI,70.0,1,Dawn,Clear,Yard,Freight Train,8,224915,174236,399151,T220,46.641072000000001,-92.134606000000005
BNSF,PR0816102,2016-08-05,4:00 AM,Derailment,0,ETTER,TX,65.0,4,Dark,Cloudy,Yard,Freight Train,3,64800,0,64800,H307,36.023550999999998,-101.97565899999999
CSX,000167261,2017-03-07,3:11 PM,Hwy-rail crossing,0,NEWBURGH,NY,52.0,2,Day,Cloudy,Siding,Spec. MoW Equip.,0,330000,0,1888187,M303,41.489400000000003,-74.009237999999996
ATK,177651,2023-12-20,8:38 PM,Hwy-rail crossing,0,PUYALLUP,WA,41.0,4,Dark,Fog,Main,Passenger Train - Pulling,72,12158,0,12158,M308,47.193179999999998,-122.298393
UP,0117RS033,2017-01-13,6:15 PM,Hwy-rail crossing,0,RICHMOND,CA,52.0,4,Dark,Cloudy,Main,,0,0,0,12421,M302,37.925187000000001,-122.33851799999999
BNSF,PR0322113,2022-03-31,6:40 PM,Derailment,0,GREYBULL,WY,44.0,3,Dusk,Cloudy,Yard,Freight Train,6,151609,8256,159865,H520,44.480589000000002,-108.05576499999999
UP,1121PR018,2021-11-27,7:30 PM,Derailment,0,JOLIET,IL,41.0,3,Dusk,Cloudy,Yard,Freight Train,5,38529,4850,43379,H704,41.459519,-88.112756000000005
UP,1118DV002,2018-11-10,11:15 AM,Derailment,0,CHEYENNE,WY,46.0,2,Day,Cloudy,Yard,Cut of cars,0,256881,0,391108,H019,41.127811999999999,-104.817008
NS,132512,2019-01-20,12:49 PM,Derailment,0,BELLEVUE,OH,10.0,2,Day,Clear,Yard,Yard/switching,10,10813,200,11013,H210,41.288305999999999,-82.801342000000005
CSX,000152796,2015-10-03,9:50 AM,Head on collision,0,BUCHANAN,VA,48.0,2,Day,Rain,Main,Spec. MoW Equip.,0,0,0,15940,H699,37.566726000000003,-79.736530999999999
BNSF,RD0718109,2018-07-10,4:00 AM,Head on collision,0,HASLET,TX,76.0,1,Dawn,Cloudy,Yard,Freight Train,0,11000,0,160277,H302,32.989427999999997,-97.353326999999993
BNSF,NW0324126,2024-03-02,12:01 AM,Derailment,0,SPOKANE,WA,34.0,4,Dark,Clear,Yard,,0,0,0,26786,E69C,47.655658000000003,-117.418193
BNSF,PR0317200,2017-03-17,6:27 PM,Hwy-rail crossing,0,MINDEN,NE,55.0,3,Dusk,Clear,Main,Freight Train,60,173183,0,173183,M302,40.515279999999997,-98.913499999999999
CSX,000173023,2017-11-21,9:08 AM,Derailment,0,LUMBERPORT,WV,48.0,2,Day,Cloudy,Industry,Freight Train,8,19378,500,19878,T216,39.375472000000002,-80.342010000000002
UP,0623RM007,2023-06-08,4:00 PM,Derailment,0,ROCK SPRINGS,WY,64.0,2,Day,Clear,Siding,Freight Train,2,14010,11366,25376,H701,41.557471999999997,-108.542023
UP,0921PR015,2021-09-25,9:20 AM,Derailment,0,MILWAUKEE,WI,52.0,2,Day,Clear,Yard,Freight Train,7,174753,142159,316912,H307,43.097872000000002,-88.064160000000001
BNSF,RD0523116,2023-05-21,5:18 PM,Derailment,0,GALVESTON,TX,75.0,3,Dusk,Cloudy,Yard,Yard/switching,10,29018,97610,126628,H307,29.291218000000001,-94.856223
CSX,000204935,2022-05-14,3:15 AM,Derailment,0,READER,WV,63.0,4,Dark,Clear,Main,Freight Train,18,33543,2063,35606,E47C,39.576113999999997,-80.760034000000005
NJTR,201807383,2018-07-13,10:20 PM,Other (describe in narrative),0,KEARNY,NJ,85.0,4,Dark,Clear,Yard,Yard/switching,2,0,133000,133000,H399,40.743153,-74.098990000000001
UP,1023PR028,2023-10-31,3:41 PM,Derailment,0,JANESVILLE,WI,36.0,2,Day,Clear,Main,Freight Train,10,173233,179114,352347,M204,42.683667999999997,-89.028998999999999
WC,1001699,2019-06-12,12:40 PM,Hwy-rail crossing,0,HAWTHORNE,WI,64.0,2,Day,Clear,Main,,0,0,0,56958,M303,46.589610999999998,-91.907263
UP,0218KC021,2018-02-23,2:00 AM,Derailment,0,KANSAS CITY,MO,33.0,4,Dark,Clear,Yard,Yard/switching,2,6926,16640,23566,E04C,39.122715999999997,-94.523955999999998
CBRW,19011401,2019-01-14,4:10 PM,Derailment,0,WARDEN,WA,30.0,2,Day,Cloudy,Industry,Cut of cars,10,31598,200,31798,H025,46.968707000000002,-119.062395
BNSF,CH0118104,2018-01-11,11:30 PM,Derailment,0,DIAMOND BLUFF,WI,-20.0,4,Dark,Clear,Main,Freight Train,3,500,42307,42807,H705,44.619906999999998,-92.569540000000003
UP,1218GP008,2018-12-04,3:41 AM,Derailment,0,MANVILLE,WY,17.0,4,Dark,Cloudy,Main,Freight Train,38,16778,385470,402248,E62C,42.766581000000002,-104.716663
CSX,000180871,2019-01-20,7:20 PM,Hwy-rail crossing,0,CUYAHOGA FALLS,OH,7.0,4,Dark,Snow,Main,Freight Train,38,10622,11959,22581,M302,41.142741000000001,-81.469871999999995
BNSF,NW1123109,2023-11-11,1:54 AM,Derailment,0,VANCOUVER,WA,52.0,4,Dark,Rain,Yard,Yard/switching,4,5347,15066,20413,H702,45.617784,-122.718317
NS,135832,2019-10-14,10:30 PM,Derailment,0,BLACKSVILLE,WV,39.0,4,Dark,Clear,Industry,Freight Train,1,0,18157,18157,M101,39.715491,-80.191125999999997
UP,0315PR017,2015-03-12,8:08 PM,Derailment,0,BUTLER,WI,48.0,4,Dark,Cloudy,Yard,Freight Train,6,6127,14542,20669,H503,43.092793,-88.064466999999993
NS,130964,2018-09-16,9:20 PM,Derailment,0,TAYLOR,PA,72.0,4,Dark,Clear,Industry,Freight Train,1,5727,10797,16524,M405,41.392605000000003,-75.685800999999998
UP,1117PR004,2017-11-06,12:49 PM,Hwy-rail crossing,0,NORTH LAKE,WI,39.0,2,Day,Cloudy,Main,Freight Train,46,0,17896,17896,M309,43.161422000000002,-88.364755000000002
BNSF,CH0918117,2018-09-22,5:34 PM,Side collision,0,LA CROSSE,WI,72.0,3,Dusk,Clear,Yard,Yard/switching,8,9000,0,41263,H607,43.847327999999997,-91.230211999999995
NS,121691,2016-08-16,9:18 AM,Hwy-rail crossing,0,KERMIT,WV,77.0,2,Day,Clear,Main,Spec. MoW Equip.,22,31000,0,31000,M303,37.868150999999997,-82.406885000000003
BNSF,RD0219124,2019-02-22,10:30 PM,Derailment,0,CONROE,TX,64.0,4,Dark,Fog,Yard,Freight Train,5,1500,11030,12530,H702,30.310153,-95.454175000000006
BNSF,NW0922113,2022-09-27,11:00 AM,Derailment,0,KENT,WA,73.0,2,Day,Clear,Industry,Freight Train,3,1000,12500,13500,H307,47.435827000000003,-122.221603
BNSF,SF0516115,2016-05-26,12:23 AM,Derailment,0,CARRIER,OK,79.0,4,Dark,Cloudy,Siding,Freight Train,0,23795,0,23795,M105,36.504452999999998,-98.086948000000007
UP,1018TC006,2018-10-10,12:40 PM,Derailment,0,WYEVILLE,WI,60.0,2,Day,Cloudy,Industry,Light loco(s),1,12363,0,12363,H303,43.988846000000002,-90.340627999999995
IAIS,2022025,2022-07-21,12:49 PM,Derailment,0,BLUE ISLAND,IL,90.0,2,Day,Clear,Main,Freight Train,10,4500,0,57620,E69C,41.641461,-87.693783999999994
UP,0820TO022,2020-08-19,2:55 PM,Other impacts,0,FORT WORTH,TX,92.0,2,Day,Clear,Yard,Single Car,0,2157,0,27787,H312,32.724488000000001,-97.373604999999998
BNSF,NW1218114,2018-12-18,10:50 AM,Derailment,0,CENTRALIA,WA,50.0,2,Day,Cloudy,Yard,Freight Train,8,64423,0,64423,E86C,46.746648,-122.938305
BNSF,CH0216200,2016-02-12,12:30 PM,Hwy-rail crossing,0,DIAMOND BLUFF,WI,12.0,2,Day,Clear,Main,Freight Train,40,500,13000,13500,M302,44.648401999999997,-92.623935000000003
BNSF,NW0624105,2024-06-10,11:58 AM,Rear end collision,0,EVERETT,WA,63.0,2,Day,Clear,Main,Spec. MoW Equip.,10,80000,0,160000,H997,47.948372999999997,-122.192881
ATK,172926,2022-11-30,7:30 PM,Obstruction,0,SKYKOMISH,WA,33.0,4,Dark,Snow,Main,Passenger Train - Pulling,25,27272,0,27272,M404,47.703769999999999,-121.295181
BNSF,NW0119105,2019-01-15,10:00 AM,Derailment,0,VANCOUVER,WA,40.0,2,Day,Clear,Main,Spec. MoW Equip.,10,500,24750,25250,H402,45.704008000000002,-122.71755400000001
NS,157221,2024-06-30,8:15 AM,Derailment,0,JUSTICE,WV,85.0,2,Day,Clear,Yard,Freight Train,8,2950,15758,18708,M204,37.593521000000003,-81.847723000000002
BNSF,NW0722118,2022-07-24,6:00 AM,Other (describe in narrative),0,LONGVIEW,WA,50.0,1,Dawn,Clear,Main,Freight Train,8,0,49900,49900,H705,46.084400000000002,-122.86944699999999
BNSF,NW0522108,2022-05-19,11:15 AM,Rear end collision,0,SKYKOMISH,WA,50.0,2,Day,Cloudy,Siding,Spec. MoW Equip.,0,13000,0,13800,H607,47.774169999999998,-121.487199
UP,0216DV015,2016-02-20,12:10 AM,Derailment,0,CHEYENNE,WY,40.0,4,Dark,Cloudy,Yard,Yard/switching,6,22814,14263,37077,H702,41.126609000000002,-104.821749
ATK,163563,2020-03-20,3:00 PM,Derailment,0,PHILADELPHIA,PA,80.0,2,Day,Cloudy,Yard,Light loco(s),4,24241,0,24241,H702,39.955159999999999,-75.182651000000007
BNSF,PR0815108,2015-08-13,9:10 AM,Head on collision,0,MOORCROFT,WY,71.0,2,Day,Clear,Main,Freight Train,0,18500,0,19700,H017,44.282020000000003,-105.053763
UP,0422GL015,2022-04-09,4:05 PM,Derailment,0,ALTOONA,WI,52.0,2,Day,Cloudy,Yard,Yard/switching,6,315341,91303,406644,H306,44.803950999999998,-91.419163999999995
UP,0522PN007,2022-05-07,1:00 AM,Derailment,0,SPOKANE,WA,46.0,4,Dark,Cloudy,Yard,Freight Train,4,41059,6879,47938,H702,47.658397000000001,-117.345922
LSRC,M170731,2017-07-31,10:00 PM,Obstruction,0,ROSCOMMON,MI,80.0,4,Dark,Cloudy,Siding,Spec. MoW Equip.,0,145700,0,227477,H702,44.500864999999997,-84.595274000000003
BNSF,NW0821117,2021-08-26,8:00 PM,Derailment,0,SEATTLE,WA,70.0,3,Dusk,Clear,Yard,Yard/switching,8,11947,10000,21947,M503,47.589692999999997,-122.33715100000001
UP,0421RM012,2021-04-12,8:00 PM,Side collision,0,GREEN RIVER,WY,44.0,4,Dark,Clear,Industry,Cut of cars,4,7054,0,18742,H020,41.681936999999998,-109.75322799999999
CSX,000179434,2018-10-21,6:30 AM,Other impacts,0,RICHMOND,VA,0.0,1,Dawn,Clear,Yard,Yard/switching,3,17195,0,33826,H318,37.570106000000003,-77.466873000000007
WC,937603,2017-09-30,10:15 PM,Derailment,0,WISCONSIN RAPIDS,WI,54.0,4,Dark,Clear,Yard,Freight Train,6,19341,2902,22243,H508,44.413375000000002,-89.845376000000002
UFRC,1113162,2016-11-13,1:35 AM,Obstruction,0,AMERICAN FORK,UT,45.0,4,Dark,Clear,Main,Commuter Train - Pulling,58,37647,0,37647,M402,40.372664999999998,-111.810141
UP,1019HO011,2019-10-24,4:30 PM,Other impacts,0,HOUSTON,TX,81.0,2,Day,Clear,Yard,Single Car,7,100,0,19512,S007,29.793420999999999,-95.298778999999996
ATK,180334,2024-04-29,3:38 PM,Obstruction,0,LONG ISLAND CITY,NY,55.0,2,Day,Clear,Yard,,0,0,0,40701,M404,40.750487999999997,-73.992943999999994
UP,0723HO006,2023-07-05,12:15 PM,Derailment,0,SPRING,TX,90.0,2,Day,Clear,Yard,Yard/switching,10,117526,74850,192376,H523,30.057475,-95.410600000000002
FWWR,16040601,2016-04-06,8:00 PM,Derailment,0,CRESSON,TX,59.0,3,Dusk,Clear,Main,Freight Train,8,200000,0,200000,H525,32.532635999999997,-97.617801999999998
CSX,000216509,2024-03-01,7:31 AM,Derailment,0,LUMBERPORT,WV,32.0,1,Dawn,Clear,Industry,Freight Train,8,12868,2309,15177,T211,39.367882999999999,-80.351607999999999
BNSF,NW0921118,2021-09-26,2:36 AM,Other impacts,0,PASCO,WA,65.0,4,Dark,Clear,Yard,Yard/switching,3,2700,3000,91388,E30C,46.272863000000001,-119.102435
NS,123588,2017-01-16,7:10 AM,Other impacts,0,PINEVILLE,WV,72.0,1,Dawn,Cloudy,Industry,Freight Train,2,24586,0,24586,M404,37.547058999999997,-81.501772000000003
UP,0223RM050,2023-02-26,5:18 AM,Derailment,0,WAMSUTTER,WY,24.0,1,Dawn,Cloudy,Main,Freight Train,2,50531,200,50731,M101,41.713667000000001,-107.72325600000001
UP,0322GC032,2022-03-31,11:00 AM,Hwy-rail crossing,0,LIVINGSTON,TX,63.0,2,Day,Cloudy,Main,Freight Train,45,12341,28525,40866,M302,30.788319000000001,-94.894188999999997
UP,1219GP035,2019-12-09,1:45 AM,Other (describe in narrative),0,BILL,WY,18.0,4,Dark,Cloudy,Main,Freight Train,22,0,0,90000,H403,43.254151999999998,-105.279979
CSX,000200561,2021-10-09,7:51 AM,Derailment,0,NASHVILLE,TN,75.0,1,Dawn,Clear,Yard,Freight Train,4,18425,1000,19425,H503,36.112141999999999,-86.770736999999997
BNSF,PR1219107,2019-12-09,1:45 AM,Other (describe in narrative),0,BILL,WY,18.0,4,Dark,Cloudy,Main,,0,0,90000,90000,H403,43.254151999999998,-105.279979
UP,0723HO001,2023-07-01,1:55 AM,Other impacts,0,BAYTOWN,TX,83.0,4,Dark,Clear,Yard,Single Car,5,1812,0,13237,H601,29.79851,-95.017139
BNSF,PR0315106,2015-03-06,6:15 AM,Derailment,0,ALLIANCE,NE,35.0,1,Dawn,Clear,Yard,Freight Train,5,11248,3800,15048,T222,42.088048000000001,-102.887092
UP,0219ES007,2019-02-05,2:30 PM,Other (describe in narrative),0,KNIPPA,TX,72.0,2,Day,Cloudy,Main,Spec. MoW Equip.,10,0,58417,58417,H702,29.302465000000002,-99.614368999999996
NS,124956,2017-05-05,8:45 AM,Derailment,0,CONWAY,PA,60.0,2,Day,Cloudy,Yard,Single Car,0,735,0,50877,E29C,40.672356000000001,-80.251823000000002
TMBL,03292022A,2022-03-29,1:00 PM,Derailment,0,TACOMA,WA,55.0,2,Day,Clear,Yard,,0,0,35558,57384,H514,47.261873000000001,-122.39670700000001
ALS,20191221,2019-12-21,11:00 AM,Raking collision,0,EAST ST LOUIS,IL,36.0,2,Day,Clear,Yard,Yard/switching,7,19650,755,20405,H702,38.596764,-90.152321000000001
